Generation,fitness,metabolic_error,amount_of_dna,nb_coding_rnas,nb_non_coding_rnas,nb_functional_genes,nb_non_functional_genes,nb_mut,nb_switch
309,1.48019e-51,0.117054,5000,1,14.9219,1,0,0.046875,0.046875
310,1.48164e-51,0.117039,5000,1,14.9277,1,0,0.0458984,0.0458984
311,1.48164e-51,0.117039,5000,1,14.9531,1,0,0.0507812,0.0507812
312,1.48164e-51,0.117039,5000,1,14.9932,1,0,0.0537109,0.0537109
313,1.48019e-51,0.117073,5000,1,15.0039,0.999023,0.000976562,0.0566406,0.0566406
314,1.48164e-51,0.117039,5000,1,14.9893,1,0,0.046875,0.046875
315,1.48164e-51,0.117039,5000,1,14.957,1,0,0.0507812,0.0507812
316,1.48019e-51,0.117073,5000,0.999023,14.9795,0.999023,0,0.0507812,0.0507812
317,1.48019e-51,0.117054,5000,1,14.9863,1,0,0.0488281,0.0488281
318,1.48164e-51,0.117039,5000,1,14.9941,1,0,0.0439453,0.0439453
319,1.48164e-51,0.117039,5000,1,15.0146,1,0,0.0429688,0.0429688
